,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
91,"McLean, VA",Prescient,"Advanced analytics and data visualization presentation skills. Extract and process data for statistical modeling and graphic analysis, identify relations and...",23f39f0a5cc7de50,Statistical Analyst (SA),,42.0,2,26 days,2016-10-17 21:32:25.026828
92,"Bethesda, MD",SESDA,Come work side by side with top developers and scientists developing Earth/Atmospheric Science data analysis and visualization tools....,443b85c4311080e1,Scientific Software Programmer,,,,14 days,2016-10-17 21:32:25.026828
93,"Washington, DC",ONE,"The Data Scientist will be responsible for advising ONE on the potential of data to provide new insights into ONE’s work and mission using advanced data mining,...",5508cb756070cc39,Data Scientist (London),,52.800003,33,30+ days,2016-10-17 21:32:25.026828
94,"Washington, DC",American Association for Cancer Research,"Assisting colleagues to advance science policy measures that will accelerate discoveries into cures through a variety of initiatives, including enhancing...",46e3e1096c3ed4e2,Senior Science Policy Analyst,,,,13 days,2016-10-17 21:32:25.026828
95,"Washington, DC","Big Sky Associates, Inc.",Big Sky is a fast pace company on the cutting edge of using data and analytics to help our clients. Successfully build and manage relationships with internal...,a6f4f7dd1c4e1f36,Part Time Internship: Data Analysis,,,,4 days,2016-10-17 21:32:25.026828
96,"Washington, DC",CACI International Inc,"Initiate the efficient implementation of methods, tools, algorithms, including preliminary data exploration, data visualization and preparation, model...",1e6bc431e674b556,Data Scientist Senior Job,,44.4,815,30+ days,2016-10-17 21:32:25.026828
97,"Chantilly, VA","Commonwealth Computer Research, Inc.","CCRi is looking for smart, innovative data scientists with analytical and software engineering skills. We conduct research and development in data mining and...",e898200dbea8f15a,Data Scientist,,,,12 days,2016-10-17 21:32:25.026828
98,"Vienna, VA",Ninja Analytics,"MS/PhD in mathematics, statistics, data mining, machine learning, physics, data analytics, behavioral science with quantitative focus, or computer science....",c0fe9aece8ff6cb7,Data Scientist,,,,19 hours,2016-10-17 21:32:25.026828
99,"Arlington, VA",ECS Federal LLC,"Area of interest include mathematics, physics, statistics, or a related field. This Scientific, Engineering and Technical Assistance (SETA) position is in...",7fdc92f63beab541,Mathematician / Statistician,,43.8,14,20 days,2016-10-17 21:32:25.026828
100,"Fairfax, VA",ICF,"Support project delivery on small-to-medium sized IT projects for external and internal clients, including partnering with ICF subject matter experts on project...",bc442f1e6446cd02,Business/Data Analyst,,41.4,234,11 days,2016-10-17 21:32:25.026828
101,"McLean, VA",Leidos,Is currently looking for a Subject Matter Expert level Data Scientists on a 135+ FTE program as a part of a dynamic team conducting technical operations in a...,97628accef0928e8,Data Scientist,,43.8,187,30+ days,2016-10-17 21:32:25.026828
102,"Arlington, VA",Barone Consulting,"Impact the nation's investment in technology development, through the advancement of machine learning algorithms, artificial neural networks, and machine...",979e05cb6dab069c,Machine Learning - R&D,,,,4 days,2016-10-17 21:32:25.026828
103,"McLean, VA",SAIC,"Determine appropriate tools and methods for specific projects to design the analytics solution either as a standalone system, or an analytics embedded inside...",1a475b19fe3bffee,Data Scientist | Solution Architect Job,,51.6,1269,23 days,2016-10-17 21:32:25.026828
104,"Washington, DC 20036 (Downtown area)",Unisys,"May collect and analyze data and develop decision support software, service, or products. Operations Research Analyst....",c1198995c2869a82,Operations Research Analyst,,43.2,646,5 days,2016-10-17 21:32:25.026828
105,"Washington, DC","IFAS, LLC",The Office of the Principal Legal Advisor (OPLA) serves as Immigration and Customs Enforcement’s (ICE) legal advisor and represents the Department of Homeland,1109f5e971174b60,Statistician,,,,30+ days,2016-10-17 21:32:25.026828
106,"Washington, DC",Booz Allen Hamilton,"5+ years of experience with using Python machine learning libraries and functionality, including scikit-learn, Used for training, and evaluating machine...",726beffc933922e2,Greenplum Data Scientist,,44.4,946,30+ days,2016-10-17 21:32:25.026828
107,"Washington, DC 20036 (Downtown area)",Verto Solutions,Assist Staff Scientists with drafting safety assessment documents and other supporting data for national and international regulatory bodies....,7b76eb38f827baed,Scientific Associate,,,,3 days,2016-10-17 21:32:25.026828
108,"Silver Spring, MD",Advanced Resource Technologies Inc,"The Data Analyst position is assigned to provide scientific mapping and charting support, and quality control and analysis of physical oceanographic and...",fb62f5ee66af4cd9,Oceanographic Data Analyst - Hydrographic / Tidal Analysis,,,,10 days,2016-10-17 21:32:25.026828
109,"Arlington, VA",AvalonBay Communities,Applying machine learning and statistical modeling to large datasets to develop business insight • Lead implementation of business solutions based on modeling...,1dadb33b14f90b16,Data Scientist – Predictive Analytics,,43.2,153,30+ days,2016-10-17 21:32:25.026828
110,"Springfield, VA",CACI International Inc,"Applies knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify...",c2b11e097b02968f,Statistician/Data Scientist Job,,44.4,815,13 days,2016-10-17 21:32:25.026828
111,"Tysons Corner, VA",Salient CRGT,Recognized as an analytics expert in one or more functional areas or verticals in either the federal or commercial market Demonstrates experience or expresses...,373dffd501c17cf6,Data Scientist 4,,42.6,5,27 days,2016-10-17 21:32:25.026828
112,"McLean, VA",Capital One,Creating machine learning models from development through testing and validation to our 100+ million customers in production....,168cb8c3444a082b,Data Science Manager,,44.4,2904,24 days,2016-10-17 21:32:25.026828
113,"College Park, MD",Vencore,Vencore Labs (formerly Applied Communication Sciences) is a self-sustaining research center within Vencore that provides applied research and engineering to...,66001ae55cff0086,Senior Data Scientist,,42.0,43,30+ days,2016-10-17 21:32:25.026828
114,"Crystal City, VA",Novetta,"Experience applying data mining and machine learning techniques in a professional context. Knowledge of data mining and machine learning algorithms, theories,...",8d1118b6d4dab46d,Data Scientist,,,,30+ days,2016-10-17 21:32:25.026828
115,"Washington, DC",PCORI,"Minimum requirements are a Master’s degree plus a minimum of 4 years related work experience in health research or a related field such as Biostatistics, Survey...",be563c41951dc2ae,"Data Analyst, Evaluation and Analysis",,55.199997,3,30+ days,2016-10-17 21:32:25.026828
